iter	Passed	Remaining
0	0	84
1	1	89
2	2	90
3	3	84
4	4	87
5	5	87
6	7	94
7	8	94
8	11	119
9	13	120
10	14	118
11	16	118
12	17	117
13	19	120
14	21	119
15	27	144
16	28	140
17	30	138
18	31	134
19	32	129
20	33	125
21	34	121
22	35	117
23	35	113
24	36	110
25	37	107
26	39	106
27	40	103
28	41	100
29	42	98
30	43	96
31	44	94
32	45	92
33	46	89
34	47	87
35	48	85
36	49	83
37	49	81
38	50	79
39	51	77
40	52	75
41	52	72
42	53	70
43	54	69
44	55	67
45	56	65
46	57	64
47	57	62
48	58	61
49	59	59
50	60	58
51	61	56
52	62	55
53	63	53
54	63	52
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	73	38
66	75	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	23
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
