iter	Passed	Remaining
0	207	207486
1	208	104075
2	209	69577
3	210	52338
4	210	41981
5	211	35068
6	212	30160
7	213	26463
8	214	23580
9	214	21272
10	215	19372
11	216	17790
12	216	16460
13	217	15317
14	218	14323
15	218	13453
16	219	12683
17	219	11998
18	220	11386
19	221	10835
20	221	10337
21	222	9884
22	223	9473
23	223	9093
24	224	8744
25	224	8426
26	225	8133
27	226	7862
28	227	7605
29	227	7364
30	228	7138
31	228	6926
32	229	6727
33	230	6540
34	230	6364
35	231	6197
36	232	6039
37	232	5889
38	233	5747
39	233	5612
40	234	5483
41	235	5361
42	235	5245
43	236	5133
44	236	5027
45	237	4925
46	238	4827
47	238	4735
48	239	4646
49	240	4567
50	241	4485
51	241	4406
52	242	4331
53	243	4257
54	243	4186
55	244	4116
56	244	4050
57	245	3986
58	246	3926
59	246	3868
60	247	3810
61	248	3754
62	248	3699
63	249	3647
64	250	3597
65	250	3548
66	251	3500
67	252	3454
68	252	3410
69	253	3365
70	254	3324
71	254	3284
72	255	3246
73	256	3206
74	256	3167
75	257	3129
76	258	3092
77	258	3058
78	259	3024
79	260	2990
80	260	2957
81	261	2925
82	261	2890
83	262	2859
84	262	2829
85	263	2800
86	264	2772
87	264	2744
88	265	2716
89	266	2690
90	267	2668
91	267	2642
92	268	2617
93	268	2592
94	269	2569
95	270	2545
96	270	2521
97	271	2498
98	272	2475
99	272	2454
100	273	2433
101	273	2412
102	274	2391
103	275	2371
104	275	2351
105	276	2331
106	277	2312
107	277	2294
108	278	2276
109	279	2260
110	280	2243
111	281	2228
112	281	2211
113	282	2195
114	283	2178
115	283	2161
116	284	2144
117	284	2128
118	285	2112
119	285	2097
120	286	2081
121	287	2065
122	287	2051
123	288	2036
124	288	2022
125	289	2008
126	290	1993
127	290	1980
128	291	1966
129	291	1953
130	292	1941
131	293	1928
132	293	1915
133	294	1902
134	294	1890
135	295	1878
136	296	1867
137	297	1855
138	297	1843
139	298	1831
140	298	1820
141	299	1807
142	299	1797
143	300	1786
144	301	1775
145	301	1764
146	302	1754
147	302	1743
148	303	1733
149	304	1723
150	304	1714
151	305	1704
152	306	1694
153	306	1684
154	307	1674
155	307	1665
156	308	1656
157	309	1647
158	309	1637
159	310	1629
160	310	1619
161	311	1611
162	312	1602
163	312	1594
164	313	1585
165	313	1577
166	314	1569
167	315	1561
168	315	1552
169	316	1544
170	317	1537
171	317	1529
172	318	1521
173	318	1514
174	319	1506
175	320	1498
176	320	1491
177	321	1483
178	321	1476
179	322	1468
180	323	1461
181	323	1454
182	324	1447
183	324	1440
184	325	1434
185	326	1427
186	326	1421
187	327	1414
188	328	1408
189	328	1401
190	329	1394
191	329	1388
192	330	1381
193	331	1375
194	331	1369
195	332	1363
196	333	1357
197	333	1351
198	334	1345
199	334	1339
200	335	1333
201	336	1328
202	336	1322
203	337	1316
204	337	1310
205	338	1304
206	339	1299
207	339	1293
208	340	1288
209	341	1283
210	341	1278
211	342	1272
212	343	1268
213	343	1263
214	344	1258
215	345	1253
216	345	1248
217	346	1243
218	347	1237
219	347	1232
220	348	1227
221	348	1222
222	349	1217
223	350	1212
224	350	1207
225	351	1203
226	351	1198
227	352	1193
228	353	1188
229	353	1184
230	354	1180
231	355	1176
232	356	1172
233	356	1167
234	357	1163
235	357	1158
236	358	1154
237	359	1149
238	359	1145
239	360	1141
240	360	1136
241	361	1132
242	362	1128
243	362	1123
244	363	1119
245	363	1115
246	364	1111
247	365	1107
248	365	1102
249	366	1098
250	366	1094
251	367	1091
252	368	1086
253	368	1083
254	369	1079
255	370	1075
256	371	1074
257	372	1070
258	372	1066
259	373	1063
260	374	1060
261	375	1058
262	376	1055
263	377	1052
264	378	1050
265	379	1047
266	380	1043
267	381	1040
268	381	1037
269	382	1034
270	383	1032
271	384	1029
272	385	1026
273	386	1023
274	387	1020
275	388	1018
276	389	1016
277	390	1014
278	391	1011
279	392	1010
280	393	1007
281	394	1004
282	395	1002
283	396	999
284	397	996
285	398	994
286	399	991
287	400	989
288	401	987
289	402	985
290	403	983
291	404	980
292	405	978
293	406	976
294	407	973
295	408	971
296	409	968
297	410	966
298	411	964
299	412	961
300	413	959
301	413	956
302	414	954
303	415	952
304	416	949
305	417	947
306	418	944
307	419	942
308	420	939
309	420	936
310	421	934
311	422	931
312	423	929
313	424	926
314	424	923
315	425	921
316	426	919
317	427	916
318	428	914
319	429	912
320	430	910
321	431	907
322	431	905
323	432	902
324	433	900
325	434	897
326	434	895
327	435	892
328	436	890
329	437	888
330	438	885
331	439	883
332	439	881
333	440	878
334	441	876
335	442	874
336	443	872
337	444	869
338	445	867
339	445	865
340	446	863
341	447	861
342	448	859
343	449	857
344	450	855
345	451	853
346	452	850
347	452	848
348	453	846
349	454	844
350	455	841
351	456	840
352	457	837
353	457	835
354	458	833
355	459	832
356	460	830
357	461	828
358	462	826
359	463	824
360	464	822
361	465	820
362	466	818
363	467	816
364	468	814
365	469	812
366	470	812
367	472	810
368	473	809
369	473	806
370	474	805
371	475	803
372	476	801
373	477	799
374	478	797
375	479	795
376	480	793
377	481	791
378	482	789
379	482	787
380	483	785
381	484	783
382	485	782
383	486	780
384	487	778
385	488	777
386	489	775
387	490	773
388	490	771
389	491	769
390	492	767
391	493	765
392	494	763
393	494	760
394	495	759
395	496	757
396	497	755
397	498	753
398	499	751
399	499	749
400	500	748
401	501	746
402	502	744
403	503	742
404	504	741
405	505	739
406	506	737
407	506	735
408	507	733
409	508	731
410	509	729
411	510	728
412	511	726
413	511	724
414	512	722
415	513	720
416	514	718
417	515	717
418	516	715
419	517	713
420	517	712
421	518	710
422	519	708
423	520	706
424	521	705
425	521	703
426	522	701
427	523	699
428	524	697
429	525	696
430	526	694
431	526	692
432	527	690
433	528	689
434	529	687
435	530	685
436	531	684
437	532	682
438	532	681
439	533	679
440	534	677
441	536	677
442	537	675
443	538	674
444	539	672
445	540	670
446	541	669
447	541	667
448	542	666
449	543	664
450	544	662
451	545	661
452	546	659
453	547	658
454	548	656
455	549	655
456	550	653
457	550	652
458	551	650
459	552	648
460	553	647
461	554	646
462	555	644
463	556	643
464	557	641
465	558	639
466	559	638
467	560	636
468	560	635
469	561	633
470	562	631
471	563	630
472	564	628
473	565	627
474	567	627
475	568	626
476	570	625
477	571	624
478	572	622
479	573	621
480	574	620
481	575	618
482	576	617
483	577	615
484	578	614
485	581	615
486	582	613
487	584	612
488	584	611
489	585	609
490	586	608
491	587	606
492	588	604
493	589	603
494	590	602
495	591	600
496	591	599
497	592	597
498	593	596
499	594	594
500	595	593
501	596	591
502	597	590
503	598	588
504	599	587
505	600	585
506	600	584
507	601	582
508	602	581
509	603	579
510	604	578
511	605	576
512	606	575
513	606	573
514	607	572
515	608	570
516	609	569
517	610	567
518	611	566
519	612	565
520	612	563
521	613	562
522	614	560
523	615	559
524	616	557
525	617	556
526	618	555
527	619	554
528	620	552
529	621	551
530	622	549
531	623	548
532	624	547
533	625	545
534	626	544
535	627	543
536	628	541
537	629	540
538	629	538
539	630	537
540	631	535
541	632	534
542	633	533
543	634	532
544	635	530
545	636	529
546	637	528
547	638	526
548	639	525
549	640	523
550	641	522
551	642	521
552	643	520
553	644	518
554	645	517
555	647	517
556	648	515
557	649	514
558	650	513
559	651	511
560	652	510
561	653	509
562	654	507
563	655	506
564	656	505
565	657	504
566	658	503
567	660	502
568	661	500
569	662	499
570	663	498
571	664	496
572	664	495
573	665	494
574	666	492
575	667	491
576	668	490
577	669	488
578	670	487
579	671	486
580	672	484
581	673	483
582	674	482
583	675	480
584	675	479
585	676	478
586	677	476
587	678	475
588	679	474
589	680	473
590	681	471
591	682	470
592	683	468
593	684	467
594	684	466
595	685	464
596	686	463
597	687	462
598	688	460
599	689	459
600	690	458
601	692	457
602	693	456
603	694	455
604	695	454
605	696	452
606	697	451
607	698	450
608	700	449
609	701	448
610	702	447
611	703	445
612	703	444
613	704	443
614	705	441
615	706	440
616	707	439
617	708	438
618	709	436
619	710	435
620	711	434
621	712	433
622	713	431
623	714	430
624	715	429
625	716	427
626	717	426
627	718	425
628	719	424
629	720	423
630	721	421
631	722	420
632	723	419
633	724	417
634	724	416
635	725	415
636	726	414
637	727	412
